keyword,title,company,location,employment_type,industry,education,experience,salary,posting,expiration,url
노인,[광교노인복지관] 평생교육 어르신 과목 강사모집,광교 노인복지관,경기 &gt; 수원시 영통구,"기간제,계약직",사회복지,학력무관,경력무관,면접후 결정,2025-08-07T18:12:19+0900,2025-08-20T10:00:00+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51502215&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,[케어링] 주간보호센터 사회복지사 팀장 채용 (경기 의왕점),케어링커뮤니티케어(주),경기 &gt; 의왕시,"정규직,계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력2년↑,면접후 결정,2025-08-07T16:54:10+0900,2025-09-06T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51501363&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,재가 / 해운대구 4등급 여자어르신(만89세) 요양보호사 모집,하니데이케어센터,부산 &gt; 해운대구,계약직,사회복지,학력무관,경력무관,"시급 14,000원",2025-08-07T14:23:42+0900,2025-09-06T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51499456&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,[케어링] 주간보호 요양보호사 채용 (경기 의왕점),(주)케어링주간보호센터의왕점,경기 &gt; 의왕시,"계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력무관,월급 225만원,2025-08-07T14:14:31+0900,2025-09-06T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51499339&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,[케어링] 복지용구센터 사회복지사 채용 (육아휴직 대체 계약직),케어링(주),서울 &gt; 서초구,계약직,사회복지,학력무관,경력무관,면접후 결정,2025-08-07T13:34:09+0900,2025-09-06T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51498813&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,[성산구 상남동 / 4등급 1분] 재가 방문요양보호사 모집,희연재가커뮤니티케어센터,경남 &gt; 창원시,파트,사회복지,학력무관,경력무관,"시급 14,500원",2025-08-07T11:59:05+0900,2025-09-06T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51498074&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,주간보호센터에서 1년 이상 경력 있는 사회복지사 모집합니다.,해피케어하우스 재활주간보호,부산 &gt; 남구,"계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력1년↑,면접후 결정,2025-08-07T11:38:01+0900,2025-09-30T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51497830&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,해피케어하우스 신입 및 경력 요양보호사  모집합니다.,해피케어하우스 재활주간보호,부산 &gt; 남구,"계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력무관,면접후 결정,2025-08-07T11:37:15+0900,2025-09-30T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51497815&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,해피케어하우스에서 같이 근무 할 운전원을 모집합니다.,해피케어하우스 재활주간보호,부산 &gt; 남구,"계약직 (정규직 전환가능),파트,계약직",사회복지,학력무관,경력무관,면접후 결정,2025-08-07T11:36:06+0900,2025-09-30T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51497800&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,[케어링] 주간보호 요양보호사 채용 (광주 서구점),케어링 주간보호센터 광주 서구점,광주 &gt; 서구,"정규직,계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력무관,월급 225만원,2025-08-07T10:58:32+0900,2025-09-06T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51497186&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
