기관,사업체명,기관소재지,직무요약,사업유형,계획인원,참여인원,모집기간,근무지역(상세),직무내용,모집인원(상세),주근무시간,월근무시간,임금액,구인담당자,연락처
대한노인회 강원 삼척시지회,유진관리용역주식회사,강원도/강릉시,시설관리 및 시설물유지관리업 시니어인턴십 3개월 운영 후 신규고용,현장실습 훈련 지원,5,0,2025-01-01 ~ 2025-12-31,강릉 외,모집직종 : 시설관리직 / 주차안내 및 관리직모집인원 : o명모집연령 : 연령제한 없음근로조건 : 근로기준법 준수 / 업무별 상이 / 협의후 결정임금조건 : 최저임금 준수 / 업무별 상이 / 면접후 결정문의처 033-647-5388 대한노인회삼척시지회 취업지원센터센터 033-575-6736,5,일/시간,,0,이지현,033-647-5388
대한노인회 강원 삼척시지회,행복누리산부인과,강원도/강릉시,의료 시니어인턴십 3개월 운영 후 신규고용,현장실습 훈련 지원,1,0,2025-01-01 ~ 2025-12-31,강릉,모집직종 : 조리보조 모집인원 : o 명모집연령 : 연령제한 없음근로조건 : 근로기준법 준수 / 업무별 상이 / 협의후 결정임금조건 : 최저임금 준수 / 업무별 상이 / 면접후 결정문의처 033-641-6620 대한노인회삼척시지회 취업지원센터센터 033-575-6736,1,일/시간,,0,최승미,033-641-6620
대한노인회 강원 삼척시지회,진영산업주식회사,강원도/동해시,산업설비 유지관리 외 시니어인턴십 3개월 운영 후 신규고용,현장실습 훈련 지원,5,0,2025-02-12 ~ 2025-12-31,동해시,"모집직종 : 현장관리, 로더운전원모집인원 : o명모집연령 : 연령제한 없음근로조건 : 근로기준법 준수 / 업무별 상이 / 협의후 결정임금조건 : 최저임금 준수 / 업무별 상이 / 면접후 결정문의처 김기철 이사 033-521-1492",5,일/시간,,0,김기철이사,033-521-1492
대한노인회 강원 삼척시지회,주식회사 거송임업,강원도/삼척시,산림토목 외 시니어인턴십 3개월 운영 후 신규고용,현장실습 훈련 지원,2,0,2025-01-01 ~ 2025-12-31,삼척 외,모집직종 : 산림기능사모집인원 : o 명모집연령 : 연령제한 없음근로조건 : 근로기준법 준수 / 업무별 상이 / 협의후 결정임금조건 : 최저임금 준수 / 업무별 상이 / 면접후 결정문의처 033-574-5800,2,일/시간,,0,신정희,033-574-5800
대한노인회 강원 삼척시지회,기륭레미콘주식회사,강원도/삼척시,레미콘 외 시니어인턴십 3개월 운영 후 신규고용,현장실습 훈련 지원,2,0,2025-01-01 ~ 2025-12-31,삼척,모집직종 : 시설관리 및 아파트 관리소장모집인원 : o 명모집연령 : 연령제한 없음근로조건 : 근로기준법 준수 / 업무별 상이 / 협의후 결정임금조건 : 최저임금 준수 / 업무별 상이 / 면접후 결정문의처 033-541-0155 대한노인회삼척시지회 취업지원센터센터 033-575-6736,2,일/시간,,0,강경은,033-541-0155
대한노인회 강원 삼척시지회,태진이엔지,강원도/삼척시,산업설비공사 외 시니어인턴십 3개월 운영 후 신규고용,현장실습 훈련 지원,2,0,2025-01-01 ~ 2025-12-31,삼척,모집직종 : 용접원모집인원 : o명모집연령 : 연령제한 없음근로조건 : 근로기준법 준수 / 업무별 상이 / 협의후 결정임금조건 : 최저임금 준수 / 업무별 상이 / 면접후 결정문의처 033-574-7061 대한노인회삼척시지회 취업지원센터센터 033-575-6736,2,일/시간,,0,박준영,033-574-7061
대한노인회 강원 삼척시지회,주식회사 경민,강원도/삼척시,기타광업지원 서비스업 외 시니어인턴십 3개월 운영 후 신규고용,현장실습 훈련 지원,2,0,2025-01-01 ~ 2025-12-31,삼척,"모집직종 : 건설,채굴기계 운전원 모집인원 : o명모집연령 : 연령제한 없음근로조건 : 근로기준법 준수 / 업무별 상이 / 협의후 결정임금조건 : 최저임금 준수 / 업무별 상이 / 면접후 결정문의처 010-3620-5724 대한노인회삼척시지회 취업지원센터센터 033-575-6736",2,일/시간,,0,남중선,010-3620-5724
대한노인회 강원 삼척시지회,주식회사 상동,강원도/삼척시,건설기계운영업 외 시니어인턴십 3개월 운영 후 신규고용,현장실습 훈련 지원,5,0,2025-01-01 ~ 2025-12-31,강원도 삼척,"모집직종 : 건설,채굴기계 운전원 및 현장관리원모집인원 : o 명모집연령 : 연령제한 없음근로조건 : 근로기준법 준수 / 업무별 상이 / 협의후 결정임금조건 : 최저임금 준수 / 업무별 상이 / 면접후 결정문의처 033-573-9966",5,일/시간,,0,박설민,033-573-9966
대한노인회 강원 삼척시지회,농업회사법인주식회사 채움,강원도/정선군,김치류 제조 및 대체육 가공생산 시니어인턴십 3개월 운영 후 신규고용,현장실습 훈련 지원,3,0,2025-01-01 ~ 2025-12-31,정선,모집직종 : 산림기능사모집인원 : o 명모집연령 : 연령제한 없음근로조건 : 근로기준법 준수 / 업무별 상이 / 협의후 결정임금조건 : 최저임금 준수 / 업무별 상이 / 면접후 결정문의처 033-378-4984 대한노인회삼척시지회 취업지원센터센터 033-575-6736,3,일/시간,,0,박은희,033-378-4984
대한노인회 강원 삼척시지회,주식회사 하늘마을힐링센터,강원도/평창군,"건강관리, 체험관련 서비스업 시니어인턴십 3개월 운영 후 신규고용",현장실습 훈련 지원,3,0,2025-01-01 ~ 2025-12-31,평창,모집직종 : 조리보조 / 시설관리원모집인원 : o 명모집연령 : 연령제한 없음근로조건 : 근로기준법 준수 / 업무별 상이 / 협의후 결정임금조건 : 최저임금 준수 / 업무별 상이 / 면접후 결정문의처 033-334-6004 대한노인회삼척시지회 취업지원센터센터 033-575-6736,3,일/시간,,0,유소영,033-334-6004
