_rowid,keyword,title,company,location,employment_type,industry,education,experience,salary,posting,expiration,url,job_text_all,rule_score,sim_score,final_score,추천근거
116,시니어,강남시니어타운(성남 중원구) - 퐁당당 요양보호,강남시니어타운,경기 &gt; 성남시 중원구,"정규직,계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력무관,월급 237만원,2025-07-09T16:24:39+0900,2025-09-07T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51254180&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api,"강남시니어타운(성남 중원구) - 퐁당당 요양보호 시니어 정규직,계약직 (정규직 전환가능),계약직",1.0,0.8200673,0.910033643245697,지역매칭 0.40 · 고용형태 일치 · 시간대겹침 0.00 · 키워드정합 0.00 · 유사도 0.82
144,실버,[차실버케어] 방문요양센터 사회복지사 모집,차실버케어,경기 &gt; 성남시 분당구,계약직,사회복지,학력무관,경력무관,면접후 결정,2025-06-17T08:03:30+0900,2025-08-16T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51048566&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api,[차실버케어] 방문요양센터 사회복지사 모집 실버 계약직,1.0,0.78051317,0.8902565836906433,지역매칭 0.40 · 고용형태 일치 · 시간대겹침 0.00 · 키워드정합 0.00 · 유사도 0.78
130,실버,대전 실버스테이 요양원 간호조무사,실버스테이요양원,대전 &gt; 동구,"정규직,계약직",사회복지,학력무관,경력무관,면접후 결정,2025-08-05T18:46:25+0900,2025-09-04T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51479376&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api,"대전 실버스테이 요양원 간호조무사 실버 정규직,계약직",0.5384615384615384,0.9185822,0.7285218697327833,지역매칭 0.00 · 고용형태 일치 · 시간대겹침 0.00 · 키워드정합 0.00 · 유사도 0.92
134,실버,태릉참실버케어 간호사 채용 공고,태릉참실버케어,서울 &gt; 노원구,"무기계약직,계약직",사회복지,학력무관,경력무관,월급 280만원,2025-07-31T11:32:20+0900,2025-09-29T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51437783&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api,"태릉참실버케어 간호사 채용 공고 실버 무기계약직,계약직",0.5384615384615384,0.9177642,0.7281128626603346,지역매칭 0.00 · 고용형태 일치 · 시간대겹침 0.00 · 키워드정합 0.00 · 유사도 0.92
132,실버,태릉참실버케어 사무원 채용공고,태릉참실버케어,서울 &gt; 노원구,"무기계약직,계약직",사회복지,학력무관,경력무관,면접후 결정,2025-07-31T11:38:19+0900,2025-09-29T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51437841&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api,"태릉참실버케어 사무원 채용공고 실버 무기계약직,계약직",0.5384615384615384,0.9168421,0.727651820732997,지역매칭 0.00 · 고용형태 일치 · 시간대겹침 0.00 · 키워드정합 0.00 · 유사도 0.92
133,실버,태릉참실버케어 시설관리인 채용공고,태릉참실버케어,서울 &gt; 노원구,"무기계약직,계약직",사회복지,학력무관,경력무관,면접후 결정,2025-07-31T11:35:27+0900,2025-09-29T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51437811&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api,"태릉참실버케어 시설관리인 채용공고 실버 무기계약직,계약직",0.5384615384615384,0.91530323,0.7268823843735914,지역매칭 0.00 · 고용형태 일치 · 시간대겹침 0.00 · 키워드정합 0.00 · 유사도 0.92
74,노인,영중종합사회복지관 노인맞춤돌봄사업 생활지원사 채용,영중종합사회복지관,서울 &gt; 영등포구,계약직,사회복지,학력무관,경력무관,면접후 결정,2025-07-31T18:05:56+0900,2025-08-15T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51441626&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api,영중종합사회복지관 노인맞춤돌봄사업 생활지원사 채용 노인 계약직,0.5384615384615384,0.9115846,0.7250230770844679,지역매칭 0.00 · 고용형태 일치 · 시간대겹침 0.00 · 키워드정합 0.00 · 유사도 0.91
94,노인,주야간보호센터   주간요양보호사 채용,수유데이케어센터,서울 &gt; 강북구,"무기계약직,계약직",사회복지,학력무관,경력무관,월급 210만원,2025-07-29T17:16:50+0900,2033-01-01T00:00:00+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51421866&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api,"주야간보호센터   주간요양보호사 채용 노인 무기계약직,계약직",0.5384615384615384,0.91084564,0.7246535878915052,지역매칭 0.00 · 고용형태 일치 · 시간대겹침 0.00 · 키워드정합 0.00 · 유사도 0.91
62,노인,나비요양원 조리원 구인,나비메디컬센타,충북 &gt; 청주시 청원구,"무기계약직,계약직",사회복지,학력무관,경력무관,월급 240만원,2025-08-01T15:01:37+0900,2025-08-31T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51449735&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api,"나비요양원 조리원 구인 노인 무기계약직,계약직",0.5384615384615384,0.9061433,0.7223024230736952,지역매칭 0.00 · 고용형태 일치 · 시간대겹침 0.00 · 키워드정합 0.00 · 유사도 0.91
148,60세,제2025-4회 한국원자력의학원 정기직원채용,한국원자력의학원,서울 &gt; 노원구,"무기계약직,계약직",정부·공공기관·공기업,학력무관,신입,면접후 결정,2025-08-05T09:53:58+0900,2025-08-14T17:00:00+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51472799&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api,"제2025-4회 한국원자력의학원 정기직원채용 60세 무기계약직,계약직",0.5384615384615384,0.9061027,0.7222821276921492,지역매칭 0.00 · 고용형태 일치 · 시간대겹침 0.00 · 키워드정합 0.00 · 유사도 0.91
